11 7 14 25 13 19 7 19 7 18 11 14 15 15 5 6 5 17 8 16 12 25 19 20 10 23 6 6 24 16 7 21 17 14 13 11 25 6 24 17 14 19 22 13 7 18 14 21 14 8
20 10 24 17 18 12 20 22 8 9 8 16 12 6 12 22 8 22 11 10 13 9 9 17 11 9 15 21 24 17 10 10 18 20 15 12 20 14 25 21 22 23 6 19 15 20 25 15 10 11
22 8 19 10 6 12 8 19 13 13 18 5 24 22 13 18 19 13 23 23 23 15 16 23 9 10 15 22 20 16 23 22 19 25 5 16 20 14 13 12 18 19 21 20 6 9 23 14 25 17
15 13 13 8 8 18 20 25 22 18 22 16 11 23 13 16 18 8 10 16 19 9 8 7 23 20 18 13 21 11 25 10 10 6 7 18 6 12 22 20 18 22 8 5 19 23 24 10 17 24
17 19 13 10 10 17 8 11 22 13 19 18 22 12 9 20 20 15 9 19 6 23 13 5 11 8 23 5 7 20 24 5 19 15 8 15 7 19 16 17 9 11 18 12 21 10 21 23 21 12
19 22 23 24 18 17 16 21 8 17 9 5 9 8 22 9 10 14 5 10 25 5 8 22 22 17 8 5 18 7 24 13 22 19 5 24 19 5 23 9 9 23 22 8 24 18 21 18 18 11
23 7 20 15 6 9 16 7 5 25 7 16 10 18 13 6 14 19 17 18 15 8 22 20 10 8 5 10 14 17 11 11 14 18 6 12 8 24 13 19 12 7 13 8 7 21 6 15 7 20
8 6 11 15 21 18 18 11 16 15 25 7 14 22 8 23 23 6 19 17 22 21 11 11 7 16 8 22 11 19 13 7 7 8 9 5 6 14 16 22 24 16 10 20 8 11 6 16 8 11
21 16 18 12 9 22 6 6 20 9 7 10 19 17 24 6 8 10 14 17 20 12 7 15 13 11 22 6 6 23 15 8 18 8 15 22 19 24 15 22 14 21 7 21 23 16 25 8 25 19
6 7 7 13 6 7 7 8 19 15 18 25 14 24 11 15 9 8 16 6 16 6 8 17 13 7 14 17 16 13 11 20 12 6 18 6 19 9 23 5 21 23 25 14 19 16 20 20 18 18
