25 18 23 22 24 16 17 21 22 23 23 25 20 17 25 24 23 23 15 25 20 24 18 21 19 15 20 17 20 17 22 24 15 17 16 20 19 24 20 20 25 17 23 19 18 16 16 20 19 20 16 19 20 22 16 24 19 22 15 21
16 17 22 15 18 22 17 15 23 18 25 21 21 23 17 21 17 25 21 21 15 18 24 25 19 21 19 22 21 18 16 21 21 25 15 25 18 18 19 17 22 15 19 16 17 18 20 16 16 16 17 24 18 22 18 16 23 21 18 15
21 16 21 17 15 19 25 22 25 18 18 23 24 22 19 20 21 25 16 17 24 16 19 17 17 16 16 24 16 17 23 24 20 23 17 17 25 22 19 24 24 18 21 20 16 20 25 23 21 18 17 23 24 23 15 21 25 24 22 16
22 15 25 24 25 20 16 17 15 20 19 23 17 20 24 25 24 23 22 20 23 24 23 24 25 19 15 25 19 15 19 18 19 18 25 17 22 15 25 17 15 20 22 23 17 21 16 22 21 20 23 23 23 23 22 18 22 18 18 24 
21 20 25 23 23 23 18 22 24 20 23 15 20 19 21 18 24 17 15 17 21 21 19 24 24 15 24 21 24 23 25 17 23 17 18 19 20 25 25 21 20 23 16 25 24 24 22 24 22 23 20 19 19 16 17 15 19 23 22 25
15 16 15 15 24 25 19 22 15 23 21 19 16 21 16 15 21 17 23 20 25 23 25 16 15 20 15 18 25 19 20 18 16 22 21 23 22 21 25 19 18 19 16 22 15 15 22 21 16 21 23 19 20 24 18 17 18 17 19 16
15 17 15 21 21 17 15 21 25 25 17 16 15 19 18 25 18 16 21 21 21 20 24 21 15 15 21 25 24 22 20 15 21 25 22 18 15 21 15 22 15 23 23 17 16 16 18 21 17 25 19 20 25 25 25 17 23 25 16 23
22 16 25 22 20 18 23 18 22 25 17 15 15 23 20 22 19 15 20 23 16 21 21 25 17 18 18 15 24 17 21 22 23 15 16 23 20 17 16 15 21 16 21 23 16 24 15 21 22 18 20 19 18 22 20 20 19 16 18 22
18 16 16 24 21 19 25 19 23 22 16 22 20 17 23 23 15 19 23 15 21 17 22 20 21 15 23 15 21 15 22 25 18 19 21 25 15 15 15 24 22 19 17 22 25 16 25 19 24 24 16 15 21 24 18 18 25 18 20 25
21 15 19 24 21 16 23 19 22 24 20 19 20 20 21 23 19 15 23 15 17 22 20 16 23 17 20 24 21 16 17 19 16 24 17 21 16 20 23 22 20 20 20 18 15 19 25 22 21 19 18 23 15 16 24 20 19 25 15 17
